tectonic_band_number,band_type,FWI stage,Stage description,true_top_depth_inside_silicon_micrometers,true_bottom_depth_inside_silicon_micrometers_exclusive,true_center_depth_inside_silicon_micrometers,true_thickness_micrometers,true_velocity_contrast_percent,true_band_speed_m_per_s,true_velocity_update_relative_to_silicon_m_per_s,reconstructed_mean_band_speed_m_per_s,reconstructed_median_band_speed_m_per_s,reconstructed_std_band_speed_m_per_s,reconstructed_mean_velocity_update_m_per_s,speed_error_reconstructed_minus_true_m_per_s,absolute_speed_error_m_per_s,speed_error_percent,speed_error_interpretation,velocity_update_error_m_per_s,velocity_update_recovery_percent,velocity_update_recovery_interpretation,MAE_inside_band_m_per_s,RMSE_inside_band_m_per_s,Bias_inside_band_m_per_s,Correlation_inside_band,detected_center_row_index,detected_center_depth_inside_silicon_micrometers,position_error_cells,position_error_micrometers,absolute_position_error_micrometers,position_error_interpretation,band_reconstruction_energy_expected_sign_m_per_s,background_artifact_energy_expected_sign_m_per_s,detection_efficiency_0_to_1,false_positive_ratio,wrong_sign_energy_inside_band_m_per_s,wrong_sign_ratio_inside_band
1,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,30.000000000000004,45.0,35.00000000000001,15.000000000000002,2.0,8601.66,168.65999999999985,8540.689,8542.307,19.395845,107.68979,-60.970703,60.970703,-0.7088248,Reconstruction is too slow compared with the true band speed.,-60.970215,63.85022,Moderate recovery of the true band velocity contrast.,60.97037,63.981133,-60.97037,,49.691758943879165,38.45879471939583,0.6917589438791651,3.4587947193958257,3.4587947193958257,Detected band center is deeper than the true band center.,107.68979,55.986477,0.6579438,0.5198866,0.0,0.0
1,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,30.000000000000004,45.0,35.00000000000001,15.000000000000002,2.0,8601.66,168.65999999999985,8578.167,8579.066,22.941992,145.16684,-23.493164,23.493164,-0.2731236,Reconstruction is too slow compared with the true band speed.,-23.493164,86.070694,Good recovery of the true band velocity contrast.,28.063736,32.83704,-23.493319,,49.202477609910154,36.01238804955077,0.2024776099101544,1.0123880495507722,1.0123880495507722,Detected band center is deeper than the true band center.,145.16684,50.00397,0.74379385,0.34445864,0.0,0.0
2,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,70.00000000000001,85.0,75.0,15.000000000000002,-2.0,8264.34,-168.65999999999985,8292.455,8285.941,25.43861,-140.54457,28.115234,28.115234,0.3401994,Reconstruction is too fast compared with the true band speed.,28.115433,83.33011,Good recovery of the true band velocity contrast.,29.851477,37.91581,28.115578,,57.44542791214022,77.2271395607011,0.44542791214021804,2.22713956070109,2.22713956070109,Detected band center is deeper than the true band center.,140.54457,53.484676,0.72434735,0.38055313,0.0,0.0
2,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,70.00000000000001,85.0,75.0,15.000000000000002,-2.0,8264.34,-168.65999999999985,8319.009,8323.076,26.400288,-113.99099,54.668945,54.668945,0.6615041,Reconstruction is too fast compared with the true band speed.,54.669014,67.58626,Moderate recovery of the true band velocity contrast.,55.384033,60.70991,54.669167,,57.31415970991703,76.57079854958515,0.31415970991702835,1.5707985495851418,1.5707985495851418,Detected band center is deeper than the true band center.,113.99099,55.341328,0.67317915,0.48548862,0.0,0.0
3,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,110.0,125.0,115.0,15.000000000000002,3.0,8685.99,252.98999999999978,8602.109,8597.583,20.742142,169.10973,-83.88086,83.88086,-0.9657029,Reconstruction is too slow compared with the true band speed.,-83.88028,66.84443,Moderate recovery of the true band velocity contrast.,83.880516,86.40704,-83.880516,,64.7086617264304,113.54330863215205,-0.2913382735695933,-1.4566913678479667,1.4566913678479667,Detected band center is shallower than the true band center.,169.10973,52.226074,0.7640414,0.30882952,0.0,0.0
3,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,110.0,125.0,115.0,15.000000000000002,3.0,8685.99,252.98999999999978,8597.665,8593.89,26.852335,164.6651,-88.325195,88.325195,-1.0168697,Reconstruction is too slow compared with the true band speed.,-88.324905,65.08759,Moderate recovery of the true band velocity contrast.,88.62445,92.316734,-88.325134,,65.00800950692629,115.04004753463143,0.008009506926285326,0.040047534631426636,0.040047534631426636,Detected band center is deeper than the true band center.,164.6651,48.810204,0.7713543,0.29642105,0.0,0.0
4,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,150.0,165.00000000000003,155.0,15.000000000000002,-3.0,8180.01,-252.98999999999978,8256.594,8253.531,24.704475,-176.40625,76.583984,76.583984,0.9362334,Reconstruction is too fast compared with the true band speed.,76.583755,69.728546,Moderate recovery of the true band velocity contrast.,76.583984,80.469986,76.583984,,73.21951564583112,156.09757822915563,0.21951564583112315,1.0975782291556158,1.0975782291556158,Detected band center is deeper than the true band center.,176.40625,51.289062,0.77474695,0.290744,0.0,0.0
4,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,150.0,165.00000000000003,155.0,15.000000000000002,-3.0,8180.01,-252.98999999999978,8246.035,8248.086,23.455687,-186.96532,66.02539,66.02539,0.80715543,Reconstruction is too fast compared with the true band speed.,66.02469,73.90225,Moderate recovery of the true band velocity contrast.,66.75826,70.067535,66.02492,,73.11720125707724,155.58600628538622,0.11720125707724094,0.5860062853862048,0.5860062853862048,Detected band center is deeper than the true band center.,186.96532,50.873516,0.78610086,0.27210134,0.0,0.0
5,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,190.0,205.00000000000003,195.00000000000003,15.000000000000002,4.0,8770.32,337.3199999999997,8654.961,8655.524,17.39703,221.96144,-115.359375,115.359375,-1.3153383,Reconstruction is too slow compared with the true band speed.,-115.35857,65.801445,Moderate recovery of the true band velocity contrast.,115.35887,116.66331,-115.35887,,80.90197703529641,194.50988517648207,-0.0980229647035884,-0.49011482351794206,0.49011482351794206,Detected band center is shallower than the true band center.,221.96144,48.99026,0.81919193,0.2207152,0.0,0.0
5,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,190.0,205.00000000000003,195.00000000000003,15.000000000000002,4.0,8770.32,337.3199999999997,8645.182,8643.09,26.45141,212.18085,-125.13867,125.13867,-1.4268427,Reconstruction is too slow compared with the true band speed.,-125.13916,62.901943,Moderate recovery of the true band velocity contrast.,125.16718,127.90452,-125.13947,,81.10354939472946,195.5177469736473,0.10354939472945546,0.5177469736472774,0.5177469736472774,Detected band center is deeper than the true band center.,212.18085,45.901073,0.82214534,0.21632996,0.0,0.0
6,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,230.0,245.00000000000006,235.00000000000003,15.000000000000002,-4.0,8095.679999999999,-337.3200000000006,8234.752,8235.243,10.507039,-198.24908,139.07178,139.07178,1.7178516,Reconstruction is too fast compared with the true band speed.,139.07092,58.771812,Moderate recovery of the true band velocity contrast.,139.07074,139.46709,139.07074,,89.2362356212459,236.18117810622948,0.23623562124589625,1.1811781062294813,1.1811781062294813,Detected band center is deeper than the true band center.,198.24908,49.951744,0.7987446,0.25196457,0.0,0.0
6,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,230.0,245.00000000000006,235.00000000000003,15.000000000000002,-4.0,8095.679999999999,-337.3200000000006,8177.604,8181.1475,23.70296,-255.39526,81.92383,81.92383,1.011945,Reconstruction is too fast compared with the true band speed.,81.92474,75.71305,Moderate recovery of the true band velocity contrast.,82.66583,85.28459,81.92455,,88.72470857123002,233.62354285615012,-0.27529142876997525,-1.3764571438498763,1.3764571438498763,Detected band center is shallower than the true band center.,255.39526,46.68392,0.845458,0.18279086,0.0,0.0
